Vessel Name: 02062020_InCu_KaKr_KK1-73_AC1-8_P4_7
Metric: GFP Integrated Intensity / RFP Integrated Intensity
Cell Type: 
Passage: 0
Notes: 
Analysis: KaKr-A549-H2B-GFP/-RFP_DEFv10

Date Time	Elapsed	MSR1	MT1H	MT1HL1	MT1M	MT2A	MX1	MX2	MYCL	MYD88	NCOA7	NEXN	NKX3-1	NMI	NT5C3A	NUPR1	OAS1	OAS2	OAS3	OASL	OGFR	P2RY14	PALM2-AKAP2	PAQR8	PARP10	PARP11	PARP12	PARP14	PARP9	PCDH17	PDCD1LG2	PDZD2	PGAP1	PHF11	PID1	PIWIL4	PLEKHA4	PLSCR1	PLXDC2	PMAIP1	PNPT1	POLD1	POLI	PPM1K	PSMB8	PSMB9	PTAFR	RAI14	RARRES3	RASA2	RASGEF1B	RASGRP3	RGL1	RGS1	RHBDD2	RIN2	RNF213	RTCB	RTP4	RUFY4	S100A4	SAMD9	SAMD9L	SAMHD1	SDS	SECTM1	SERPINA1	SERPINB13	SERPINB3	SERPINB4	SERPING1	SIGLEC1	SLAMF7	SLC11A1	SLC15A3	SLC16A10	SLC1A5	SLC25A28	SLFN12L	SLFN5	SOCS1	SP100	SP110	SREK1IP1	Mx2	STAT1	MAVS	BST2	EIF2AK2	RSAD2	NTC1	NTC2	NTC3	NTC4	NTC5
02.06.2020 11:41:00	0	0.005052419	0.006859419	0.003858816	0.00590575	0.006608292	0.006514308	0.004007576	0.004110558	0.001961072	0.004348845	0.002435297	0.003235299	0.002644553	0.003569566	0.004926301	0.003777338	0.002290311	0.002763031	0.002397669	0.002839949	0.007007134	0.005990376	0.002303059	0.003416906	0.006867361	0.005554195	0.004625308	0.002767689	0.00417899	0.003553373	0.006232656	0.03736318	0.002888876	0.005180649	0.0026908	0.002745364	0.002875534	0.00305643	0.002206156	0.006556732	0.003116392	0.01289362	0.07146313	0.002646994	0.05031369	0.06148277	0.1623047	0.06621151	0.005466622	0.01060659	0.03319517	0.03000378	0.005965198	0.006419995	0.007158883	0.004507912	0.004263195	0.003985654	0.004161128	0.003534597	0.003266458	0.004622392	0.004083887	0.00392655	0.003686247	0.1168812	0.08902905	0.1236584	0.03841422	0.05371586	0.0523181	0.002582416	0.004876397	0.002267936	0.003172564	0.003991023	0.005127112	0.005536727	0.004939526	0.002087582	0.002268691	0.004314059	0.002897083	0.002594462	0.003156772	0.003854786	0.005071026	0.002862653	0.003724626	0.003333577	0.003900274	0.004379815	0.004375594	0.004413943
02.06.2020 14:41:00	3	0.09365255	0.08671638	0.06856738	0.0863471	0.05619465	0.05210307	0.08707713	0.05692283	0.05860389	0.04956919	0.05384656	0.05663165	0.08092682	0.03900322	0.04437472	0.03817036	0.04528026	0.04219971	0.05361269	0.04635612	0.06026318	0.06659532	0.05801433	0.05366396	0.08167191	0.07692993	0.05593855	0.04376263	0.05239845	0.05097199	0.1118778	0.07221106	0.0618371	0.07373296	0.05758505	0.06784475	0.1152324	0.08312315	0.07513449	0.06159592	0.05829575	0.158959	0.1211267	0.05358853	0.01459251	0.05441752	0.04978474	0.0529503	0.05989399	0.07899156	0.0719244	0.1070894	0.06405541	0.06375789	0.07887656	0.08004098	0.05605328	0.07749172	0.0613215	0.09111823	0.1163417	0.08223665	0.09703503	0.07709903	0.06371596	0.08565863	0.06607793	0.1218787	0.04165228	0.04524728	0.06607252	0.05955293	0.08297095	0.05995745	0.06340231	0.07293062	0.07130142	0.08704221	0.06953961	0.06226595	0.05917284	0.08418259	0.07497635	0.08724181	0.0733344	0.06874643	0.1081146	0.08117117	0.09839068	0.08808365	0.08120925	0.07558244	0.0777669	0.06444781
02.06.2020 17:41:00	6	0.5433566	0.4743497	0.4030796	0.4767402	0.328975	0.2893909	0.4534711	0.3122443	0.3384668	0.3096016	0.3458022	0.3320363	0.4172981	0.2390324	0.2652657	0.2378435	0.2802019	0.2593623	0.3139239	0.2772897	0.3528104	0.3990155	0.3662063	0.3416775	0.4136186	0.3994051	0.3235039	0.2717067	0.3082709	0.289919	0.5755465	0.3382919	0.3431106	0.4021969	0.3545987	0.3842694	0.5569833	0.4284084	0.4074285	0.3398424	0.3268215	0.748463	0.3247953	0.31466	0.01809103	0.06091447	0.03344709	0.06300852	0.3272639	0.4061968	0.3011482	0.4903627	0.3706556	0.3517699	0.410997	0.4278833	0.3068804	0.4160518	0.3643549	0.4780885	0.5962511	0.4228702	0.5202944	0.4312235	0.3442457	0.1662064	0.09542214	0.1256883	0.04299052	0.03730711	0.07685555	0.3468633	0.4417098	0.363724	0.3589263	0.4087288	0.398719	0.4586289	0.3896977	0.3620955	0.3469442	0.484402	0.453918	0.480194	0.4169188	0.3809152	0.5567755	0.4435655	0.4998283	0.4733939	0.450429	0.4206887	0.4536682	0.4019744
02.06.2020 20:41:00	9	1.960458	1.779791	1.440333	1.772764	1.267798	1.048017	1.714769	1.254295	1.260276	1.16901	1.396976	1.238749	1.573679	0.8816187	0.9800292	0.8929039	1.008437	0.9554293	1.241537	1.035929	1.274935	1.363129	1.386408	1.293925	1.63846	1.509923	1.230489	1.03272	1.187382	1.100252	2.107589	1.293616	1.336712	1.495088	1.387426	1.505098	2.182201	1.620794	1.589504	1.315596	1.264329	2.883641	0.7311187	1.195312	0.021298	0.06994861	0.03748842	0.0681278	1.261996	1.511617	1.146847	1.850919	1.372722	1.365681	1.619724	1.684454	1.1487	1.609463	1.400667	1.750983	2.255479	1.607346	1.950823	1.613054	1.231331	0.5173305	0.1772386	0.1272823	0.06391736	0.04785863	0.08404991	1.296403	1.672259	1.370551	1.317504	1.534957	1.452509	1.756139	1.429879	1.417644	1.346173	1.883092	1.689981	1.867456	1.58932	1.403829	2.006827	1.740367	1.943588	1.903562	1.807514	1.651595	1.773753	1.573932
02.06.2020 23:41:00	12	4.993621	4.576554	3.815182	4.626307	3.458452	2.935785	4.549198	3.448528	3.542172	3.247828	3.821753	3.458479	4.028208	2.487659	2.67454	2.437645	2.791033	2.68517	3.386036	2.825914	3.315595	3.418319	3.728443	3.591906	4.322109	3.939198	3.28797	2.924778	3.259992	3.024292	5.251114	3.536719	3.600196	3.917926	3.738629	3.996023	5.350273	4.139188	4.125243	3.545604	3.42972	6.397777	1.06707	3.186726	0.03258829	0.07082496	0.05471123	0.07790794	3.40329	3.895861	3.02845	4.706161	3.632868	3.617438	4.193479	4.331285	3.018481	4.219093	3.729026	4.461744	5.479248	4.128293	4.804627	4.112563	3.324193	1.552758	0.3350995	0.1233924	0.05715651	0.04429746	0.08889907	3.447155	4.233187	3.638558	3.501747	3.935874	3.759265	4.571158	3.702698	3.829693	3.612355	4.7668	4.534715	4.848066	4.183473	3.70993	4.98773	4.600918	5.032385	4.932592	4.860456	4.360946	4.69952	4.342735
03.06.2020 02:41:00	15	9.667711	8.871131	7.747662	9.056993	7.014646	6.33856	9.060796	7.124557	7.206437	6.82943	7.901441	7.003805	7.96599	5.402969	5.620468	5.197571	5.811895	5.828582	6.887576	6.066066	6.680387	6.861681	7.560748	7.432473	8.699236	7.918571	6.78346	6.297297	6.777315	6.297383	9.641353	7.263988	7.357295	7.794904	7.540377	8.231837	10.12408	8.173686	8.119744	7.338791	7.125693	11.09644	1.482648	6.730643	0.04275674	0.07579222	0.05091065	0.09826865	6.984093	7.766883	6.252788	8.943458	7.381531	7.435965	8.353811	8.500403	6.191008	8.311828	7.61408	8.769504	10.18213	8.184064	8.913283	8.060451	6.947193	2.433385	0.4729796	0.1275752	0.06609978	0.04450478	0.1098752	7.037478	8.273766	7.369543	7.179309	7.869274	7.491657	8.934247	7.469746	7.808493	7.482444	9.15718	9.240581	9.637987	8.290435	7.550161	9.443262	9.144606	9.536925	9.720443	9.672287	8.839914	9.281752	8.922662
03.06.2020 05:41:00	18	15.70715	14.4799	13.31261	14.8035	11.99619	11.26987	15.07934	12.22951	12.21736	11.8744	13.39087	11.82418	13.20173	9.845086	9.77454	9.330494	10.28635	10.66838	11.82397	10.87969	11.18413	11.70907	12.77554	12.70575	14.29376	13.12641	11.80392	11.13887	11.73443	11.02058	14.61585	12.36542	12.51662	12.85817	12.73543	13.99336	15.92662	13.41389	13.28699	12.45918	12.18014	16.21784	2.000757	11.80576	0.04428959	0.0798808	0.06609669	0.08992092	11.88448	12.88281	10.74952	14.1735	12.34391	12.49755	13.57341	13.73124	10.61966	13.6056	13.07313	14.48851	15.69974	13.45097	13.90553	13.22119	11.96519	3.013405	0.6497348	0.1272192	0.07902146	0.04745112	0.1265352	12.13184	13.40823	12.39067	12.15201	13.03136	12.52583	14.46071	12.47224	13.28938	12.69992	14.65222	15.68015	15.80926	13.71338	12.76351	14.89475	15.2222	15.32863	15.76788	15.93703	14.72606	15.13304	14.95854
03.06.2020 08:41:00	21	22.49901	20.85186	19.87328	21.26033	17.7373	16.98361	21.9295	18.13246	18.1825	17.91545	19.8917	17.54822	18.96705	15.24404	14.85249	14.47612	15.80655	16.78014	17.24741	16.55203	16.60827	17.58419	18.91399	18.80974	20.52099	18.68813	17.39164	16.67458	17.17533	16.50783	19.47091	18.01383	18.17198	18.51357	18.51647	20.74418	22.38604	18.97165	18.86969	17.8213	17.74037	21.21121	2.528954	17.52939	0.04594932	0.06996957	0.07793862	0.1115543	17.41787	18.44061	15.54561	19.54405	17.6697	18.10624	18.98307	19.35584	15.7298	19.20252	19.37428	20.77722	21.47432	19.18413	19.05021	18.6818	17.59826	3.827389	0.827283	0.1400857	0.0846946	0.0484816	0.1207997	17.93201	18.77249	17.83509	17.62701	18.97698	17.89569	20.2057	18.00709	19.37397	18.22108	20.33868	22.87559	22.55429	19.60923	18.64553	20.78381	21.88929	21.59978	22.27825	22.62084	21.10831	21.37058	21.52234
03.06.2020 11:41:00	24	29.65721	27.52141	26.74184	28.039	23.96149	23.09936	29.10615	24.41412	24.32737	24.47092	26.7753	23.58439	24.80681	21.04428	20.41257	20.13649	21.9563	23.85292	22.72535	22.72853	22.31233	23.86907	25.36726	25.33108	26.85912	24.09737	23.14756	22.37869	22.53448	22.1099	24.71946	23.76252	23.95719	24.24347	24.25159	27.85643	28.76781	24.54216	24.47733	23.37653	23.30264	26.19756	3.228158	23.27205	0.05252473	0.08581643	0.07818922	0.1453417	22.97581	24.10697	20.17876	24.97356	22.82515	23.87676	24.42216	24.87479	21.15869	24.80464	25.94748	27.29434	27.18193	24.80273	24.20472	24.12724	23.45279	4.613248	1.032345	0.1522254	0.07788548	0.06239137	0.1280672	23.81881	24.09021	23.41951	23.22152	25.05664	23.42582	26.21281	23.62144	25.59798	23.95266	26.06405	30.27524	29.8118	25.5111	24.88567	27.12872	28.98204	27.8887	28.88539	29.34588	27.54918	27.77176	28.28226
03.06.2020 14:41:00	27	36.96042	34.28041	33.65503	34.95449	30.27503	29.24268	36.33432	30.73859	30.62843	31.16431	33.88595	29.52059	30.73613	27.08324	26.1845	26.08761	28.30201	31.30376	28.36775	28.70033	27.90813	30.18986	31.94908	31.91592	32.99043	29.51411	28.72625	27.91513	27.80371	27.61026	29.78057	29.26602	29.47672	29.75616	29.90514	34.9798	35.37475	29.71431	29.75006	28.67811	28.70677	30.99933	3.775445	28.83835	0.06886764	0.1039214	0.09624663	0.1368441	28.47849	29.3392	24.85095	30.40589	28.02746	29.51832	29.73578	30.11559	26.25245	30.279	33.0164	33.79495	32.54944	30.08422	29.0738	29.28339	29.24775	5.393171	1.111574	0.1521018	0.07295692	0.05682842	0.1504421	29.69513	29.07457	28.74507	28.72941	31.13492	28.72533	32.20617	29.28559	31.82798	29.33429	31.42177	37.88312	36.77029	31.5026	30.97006	33.54069	35.91927	34.2358	35.63377	35.99567	34.15389	34.23531	35.09152
