Vessel Name: 23052020_InCu_KaKr_KK1-71_P0_9
Metric: GFP Integrated Intensity Per Image (GCU x µm²/Image)
Cell Type: 
Passage: 0
Notes: 
Analysis: KaKr-A549-H2B-GFP/-RFP_DEFv10

Date Time	Elapsed	EZH1	FABP4	FAM105A	FAM107A	FAM110A	FAM20A	FAM46A	FAM72A	FBXO6	FCAR	FFAR2	FGL2	FOS	FPR2	GBP1	GBP3	GBP4	GBP5	GLIPR2	GLS	GMPR	GPC4	GPR141	GPR155	HAPLN3	HAVCR2	HELZ2	HERC5	HERC6	HES4	HESX1	HLA-B	HLA-C	HMHA1	HSH2D	IDO1	IFI16	IFI27	IFI35	IFI44	IFI44L	IFI6	IFIH1	IFIT1	IFIT2	IFIT3	IFIT5	IFITM1	IFITM2	IFITM3	IFNE	IFNG	IGF2BP3	IL15	IL15RA	IL1A	IL1RN	IL4I1	IRF1	IRF7	IRF9	IRG1	ISG15	ISG20	ITPKB	KCNE3	KLF7	LAG3	LAMP3	LAP3	LGALS3BP	LGALS9B	LILRA1	LILRA5	LRCH2	LRRC25	LY6D	LY6E	MAP3K1	MBD4	MCM2	MEF2BNB	MNDA	MS4A4A	C1 (Mx2)	C2 (STAT1)	C3 (MAVS)	C4 (BST2)	C5 (EIF2AK2)	C6 (RSAD2)	C7 (NTC1)	C8 (NTC2)	C9 (NTC3)	C10 (NTC4)	C11 (NTC5)
23.05.2020 10:31:00	0	4679613	4387587	4675360	4741784	4291966	5119182	5006567	4953868	4765994	4986535	5182264	6096597	4309848	5781500	4831554	5405306	5398317	5279815	5188527	5088860	4807395	5161889	4826682	4553642	4601082	5440514	5019496	5995099	5709377	6232980	5613053	5975903	5343197	5737525	5713626	4977158	4924639	5742863	4951252	5973208	5565045	5729624	5369986	5530102	4697347	5122163	5261939	5230675	5116657	5394125	5608966	5557284	5253760	5641462	5198464	5433240	5060929	4614674	4115207	4574033	4470475	4489760	4447440	4649136	4231701	4590760	5379713	5232398	5058304	5583638	4833631	4957834	4522512	5084701	5050497	5169512	5286138	5196163	4649096	5564681	4619099	4578611	4189975	4090803	4487973	5020403	4987019	6642958	4448290	4857419	5300830	5714087	4858582	5611749	4518274
23.05.2020 13:31:00	3	4835033	4580403	4868261	4931776	4434350	5336570	5249522	5188043	5004659	5215792	5416290	6395341	4518402	5973820	4917860	5584474	5563297	5490972	5407672	5298002	4990522	5370664	5039694	4772754	4802230	5654951	5181494	6197883	5916178	6440970	5848300	6175373	5495220	5906266	5936082	5238445	5152144	5898606	5080657	6121731	5713566	5870578	5517347	5794991	4873844	5305487	5478358	5509894	5377897	5630609	5824559	5744037	5449076	5817591	5366569	5577957	5217403	4802192	4289344	4788488	4666538	4681139	4635538	4832650	4397476	4768415	5562467	5415465	5245716	5796897	5039735	5226026	4677165	5295958	5255173	5373419	5503633	5429965	4850441	5779662	4827211	4762750	4389812	4387968	4748280	5220904	5165655	6894725	4660746	5050892	5543414	5992555	5100480	5893233	4746007
23.05.2020 16:31:00	6	5181220	4904196	5197855	5268538	4754725	5653668	5584518	5522669	5323853	5546375	5773134	6787127	4825983	6364357	5213422	5948312	5939990	5843427	5746636	5634650	5295627	5738894	5382669	5113476	5145657	6034774	5550234	6606159	6297673	6853685	6240877	6563506	5858495	6303157	6318817	5603925	5509240	6277860	5432434	6516219	6063334	6266839	5875434	6163641	5220385	5680771	5858486	5898660	5750011	6002557	6210822	6134034	5796371	6207419	5725659	5912737	5574911	5108317	4595287	5092902	4990514	4996439	4936958	5153187	4697397	5095272	5924510	5764297	5611558	6178304	5409344	5617559	5016377	5665769	5602264	5747729	5896228	5795427	5188853	6150139	5128448	5051802	4662323	4683673	5065203	5585892	5529363	7319387	4963519	5372074	5908527	6409471	5463464	6318697	5085380
23.05.2020 19:31:00	9	5566907	5252026	5570264	5645108	5098746	6040761	5983773	5932712	5682833	5917529	6160659	7249868	5170383	6781488	5547750	6337330	6339309	6225335	6138666	5983059	5650765	6137220	5749513	5465444	5514943	6469844	5937912	7039656	6726521	7329580	6684086	7004169	6279443	6754976	6742715	6004228	5896434	6664477	5825677	6947990	6482817	6691606	6286450	6587737	5615920	6079711	6269436	6310975	6138679	6418865	6644970	6569724	6176394	6638190	6128995	6330924	5949123	5466492	4913422	5443224	5342780	5374337	5282320	5525886	5037193	5439164	6338366	6168616	6014724	6625089	5781734	6029772	5332764	6052527	5970469	6173048	6343104	6171091	5559893	6565799	5490516	5389876	4973457	5026994	5452920	5980067	5896341	7754228	5304341	5739678	6305776	6869236	5857451	6770392	5456674
23.05.2020 22:31:00	12	6048820	5637696	5965534	6040871	5482567	6447546	6392880	6319458	6070268	6326665	6584192	7697086	5549149	7232453	5940253	6791264	6723329	6647368	6568964	6371632	6045487	6583134	6146377	5842063	5907663	6922091	6321092	7495619	7180078	7807471	7143073	7472182	6696274	7237661	7192722	6445153	6325379	7130761	6260818	7377075	6899198	7131291	6734848	7038089	6000955	6503819	6706931	6756776	6558280	6865717	7097625	7042397	6591758	7102471	6588141	6754075	6351518	5836283	5248884	5835645	5726274	5741552	5660181	5927252	5407890	5818495	6785490	6589132	6443609	7066564	6192663	6477760	5719329	6466869	6401524	6630115	6786210	6589425	5984961	7010434	5868064	5743584	5310570	5393305	5822046	6408052	6319207	8274945	5682350	6153706	6745150	7379732	6267068	7255893	5844512
24.05.2020 01:31:00	15	6535134	6091962	6405787	6494178	5945896	6879415	6829291	6769692	6511214	6781688	7049333	8247271	5993513	7753920	6390288	7298190	7209738	7091102	7010417	6772914	6501086	7070154	6602279	6261814	6345052	7455048	6813915	8024339	7680520	8337700	7646398	8005621	7208857	7751947	7700641	6935224	6818725	7620540	6750386	7900723	7371540	7617525	7222604	7519141	6474646	6993576	7226575	7234172	7058823	7383516	7630832	7564318	7086096	7608570	7070324	7191458	6793242	6226678	5638214	6264174	6192799	6162935	6073000	6376119	5828410	6277141	7289461	7084735	6956228	7547803	6657493	7007122	6122125	6961191	6839091	7150509	7306127	7076159	6441307	7515548	6294093	6142224	5701006	5724323	6276833	6870126	6799693	8813226	6114474	6619399	7224364	7914703	6752899	7769952	6305063
24.05.2020 04:31:00	18	7154022	6564973	6920161	7029419	6428250	7459914	7377586	7293260	6992051	7228975	7546544	8788630	6460359	8254908	6827130	7849460	7722854	7689313	7545941	7297707	7058022	7640897	7155260	6811168	6862077	7973398	7396016	8592344	8307996	8967317	8237753	8546684	7751743	8304265	8251645	7413876	7326248	8121031	7265505	8435823	7898132	8178922	7770708	8163629	6970058	7541524	7787348	7854741	7647119	7943831	8234988	8149741	7651736	8230512	7672255	7796078	7347813	6738184	6123301	6721943	6657332	6650198	6550624	6876344	6301541	6751090	7816724	7575757	7470255	8089828	7185486	7558156	6556109	7484512	7323797	7674010	7833831	7624401	6933063	8074639	6776780	6611666	6149732	6331645	6799822	7367778	7289870	9347276	6564529	7092140	7746637	8476846	7309382	8352536	6812976
24.05.2020 07:31:00	21	7707166	7117980	7464465	7559711	6952563	8006819	7944096	7815161	7517442	7761840	8133255	9435132	6981551	8864625	7374129	8425104	8313391	8273524	8165954	7795510	7623531	8224430	7744365	7352305	7400494	8616780	7982838	9219212	8909580	9653441	8888233	9177357	8283288	8939569	8846665	8013804	7900764	8714248	7834867	9068704	8488923	8809995	8398769	8781132	7550504	8111734	8396334	8485810	8270926	8543572	8851489	8797751	8203392	8857216	8299190	8406259	7935454	7250138	6619527	7252840	7184077	7180573	7056302	7444681	6827112	7320011	8434462	8141788	8050638	8707305	7763888	8184007	7153261	8063587	7888501	8306663	8475741	8227957	7476620	8697705	7274163	7083094	6644388	6845711	7308619	7938480	7862586	9997604	7104670	7662401	8349100	9128652	7900418	8998250	7371908
24.05.2020 10:31:00	24	8345845	7704119	8053707	8168992	7553090	8652141	8562699	8417856	8078834	8353837	8725460	1,014453E+07	7574442	9538467	7944599	9067657	8931456	8921296	8819226	8335189	8243926	8880368	8365949	7996120	8026630	9377483	8620547	9912655	9611252	1,040928E+07	9587815	9844242	8955712	9643372	9545254	8689990	8559660	9378388	8490111	9720917	9127572	9508800	9111909	9490325	8151618	8771037	9054776	9197243	8976357	9216524	9577958	9479071	8841199	9585517	8952722	9069308	8577009	7843419	7167567	7819362	7769983	7778446	7641826	8077899	7382087	7915218	9192882	8802402	8740839	9398532	8386820	8893861	7699989	8715430	8525041	8996796	9174076	8907485	8135524	9356133	7859259	7621682	7200075	7437950	7976151	8573652	8460608	1,073634E+07	7698178	8230628	8994532	9830455	8553327	9724969	7964035
24.05.2020 13:31:00	27	9087886	8372928	8713878	8832868	8235328	9302361	9258344	9072444	8756527	9043114	9438851	1,090512E+07	8225746	1,0292E+07	8602556	9831955	9677407	9657678	9582729	8951337	8959633	9605044	9106321	8727578	8702732	1,012929E+07	9376268	1,069386E+07	1,043921E+07	1,126455E+07	1,037595E+07	1,061202E+07	9697206	1,039996E+07	1,030039E+07	9472861	9248312	1,005759E+07	9198298	1,048089E+07	9830601	1,025931E+07	9926674	1,027053E+07	8862501	9501314	9828380	9946441	9740849	1,000286E+07	1,035238E+07	1,027667E+07	9594934	1,043636E+07	9731418	9858291	9286632	8481737	7821420	8515512	8474548	8426758	8292491	8767499	8070130	8615535	9963131	9531067	9472797	1,017341E+07	9134742	9693020	8352971	9442834	9196284	9773598	9980164	9658103	8843922	1,010547E+07	8493667	8227992	7838847	8089433	8661489	9257321	9141362	1,143649E+07	8338640	8972790	9771526	1,066953E+07	9294720	1,051776E+07	8645323
