Vessel Name: 26052020_InCu_KaKr_KK1-72_P0_10
Metric: GFP Integrated Intensity Per Image (GCU x µm²/Image)
Cell Type: 
Passage: 0
Notes: 
Analysis: KaKr-A549-H2B-GFP/-RFP_DEFv10

Date Time	Elapsed	EZH1	FABP4	FAM105A	FAM107A	FAM110A	FAM20A	FAM46A	FAM72A	FBXO6	FCAR	FFAR2	FGL2	FOS	FPR2	GBP1	GBP3	GBP4	GBP5	GLIPR2	GLS	GMPR	GPC4	GPR141	GPR155	HAPLN3	HAVCR2	HELZ2	HERC5	HERC6	HES4	HESX1	HLA-B	HLA-C	HMHA1	HSH2D	IDO1	IFI16	IFI27	IFI35	IFI44	IFI44L	IFI6	IFIH1	IFIT1	IFIT2	IFIT3	IFIT5	IFITM1	IFITM2	IFITM3	IFNE	IFNG	IGF2BP3	IL15	IL15RA	IL1A	IL1RN	IL4I1	IRF1	IRF7	IRF9	IRG1	ISG15	ISG20	ITPKB	KCNE3	KLF7	LAG3	LAMP3	LAP3	LGALS3BP	LGALS9B	LILRA1	LILRA5	LRCH2	LRRC25	LY6D	LY6E	MAP3K1	MBD4	MCM2	BORCS8	MNDA	MS4A4A	STAT1	MAVS	BST2	EIF2AK2	RSAD2	NTC1	NTC2	NTC3	NTC4	NTC5
26.05.2020 09:45:00	0	3720229.0	3234007.0	2980556.0	3342296.0	3351300.0	3682742.0	3568204.0	3072669.0	3508967.0	4224610.0	4011955.0	4034247.0	4443974.0	4741396.0	4073014.0	4086734.0	3867417.0	4149656.0	4997931.0	4320583.0	4904075.0	4309055.0	4112744.0	3965732.0	4665141.0	4204388.0	5070091.0	4967050.0	4925513.0	5329057.0	4601901.0	4648637.0	4667617.0	4906650.0	5224601.0	5368595.0	4216899.0	4188910.0	4278522.0	4102032.0	3424352.0	3862123.0	4487513.0	4111940.0	4847466.0	4629127.0	4264135.0	5048962.0	3388779.0	3973582.0	3955137.0	4363897.0	3942417.0	4043074.0	4559739.0	3898347.0	4070919.0	3988682.0	4637144.0	4166952.0	4413209.0	4591104.0	4390343.0	5351075.0	5046915.0	4766951.0	5465178.0	5267946.0	5197617.0	4744087.0	4311626.0	4488950.0	4848276.0	4692954.0	4772599.0	4975669.0	5282838.0	4649587.0	3850595.0	3945122.0	3493859.0	4277573.0	3861854.0	4252805.0	3305108.0	3649105.0	3656107.0	4022708.0	3342845.0	3424593.0	2739009.0	3367296.0	2925489.0	2738936.0
26.05.2020 12:45:00	3	3826458.0	3347005.0	3075952.0	3426296.0	3479496.0	3796084.0	3671455.0	3160472.0	3605778.0	4358525.0	4146516.0	4200438.0	4675025.0	4893075.0	4205229.0	4250694.0	4031124.0	4227365.0	5129905.0	4429376.0	5073638.0	4481931.0	4247223.0	4150219.0	4939698.0	4428456.0	5224406.0	5274860.0	5142993.0	5488720.0	4726683.0	4774120.0	4822236.0	5059256.0	5433490.0	5611972.0	4443906.0	4352610.0	4451384.0	4266158.0	3565779.0	4032366.0	4625990.0	4243831.0	5000158.0	4783134.0	4418752.0	5282091.0	3587234.0	4114137.0	4119482.0	4516202.0	4132020.0	4187135.0	4749038.0	4029385.0	4217063.0	4133482.0	4830019.0	4383582.0	4692685.0	4830694.0	4624492.0	5638803.0	5264327.0	5007804.0	5681689.0	5493684.0	5449825.0	4940722.0	4508482.0	4681902.0	5114605.0	4940332.0	5018897.0	5239670.0	5563551.0	4905137.0	4052085.0	4154423.0	3683916.0	4414242.0	4055412.0	4443965.0	3540045.0	3850905.0	3874470.0	4248334.0	3554796.0	3653596.0	2916336.0	3534881.0	3093420.0	2866273.0
26.05.2020 15:45:00	6	4115518.0	3601996.0	3318878.0	3679239.0	3752455.0	4103675.0	3963460.0	3413673.0	3879927.0	4692466.0	4475176.0	4542533.0	5058899.0	5279189.0	4513801.0	4586100.0	4348977.0	4541287.0	5512527.0	4737448.0	5471601.0	4840558.0	4596844.0	4492361.0	5361669.0	4788878.0	5625896.0	5711959.0	5551754.0	5913769.0	5096696.0	5150389.0	5204680.0	5457144.0	5861461.0	6052627.0	4788017.0	4748833.0	4812747.0	4629445.0	3860123.0	4365697.0	4985730.0	4598914.0	5404575.0	5166884.0	4765204.0	5678952.0	3899268.0	4388605.0	4447288.0	4876839.0	4455460.0	4483148.0	5097678.0	4351787.0	4535640.0	4468059.0	5208514.0	4757474.0	5079669.0	5204975.0	5002397.0	6093693.0	5672991.0	5428878.0	6136878.0	5927676.0	5866512.0	5346748.0	4868325.0	5022055.0	5504532.0	5341789.0	5408418.0	5680008.0	5989993.0	5298316.0	4366373.0	4500199.0	3992038.0	4766897.0	4384768.0	4808217.0	3855518.0	4135628.0	4184314.0	4568493.0	3851987.0	3951630.0	3182308.0	3812132.0	3372493.0	3104595.0
26.05.2020 18:45:00	9	4420325.0	3890533.0	3544600.0	3966421.0	4055897.0	4421775.0	4319796.0	3685684.0	4206764.0	5050914.0	4849392.0	4883155.0	5451475.0	5707169.0	4892525.0	4980181.0	4681762.0	4880417.0	5964303.0	5069326.0	5898777.0	5197835.0	4953951.0	4866242.0	5788114.0	5181615.0	6064149.0	6074851.0	6000129.0	6386161.0	5487010.0	5566769.0	5621210.0	5884127.0	6354316.0	6529387.0	5186827.0	5165460.0	5217172.0	5007166.0	4181369.0	4744965.0	5414091.0	4979184.0	5855043.0	5576269.0	5158653.0	6150186.0	4207124.0	4678405.0	4796133.0	5241409.0	4826390.0	4819891.0	5498364.0	4707332.0	4894399.0	4796209.0	5612901.0	5128910.0	5502092.0	5644450.0	5415730.0	6563594.0	6136854.0	5868682.0	6632965.0	6373383.0	6334491.0	5767820.0	5253911.0	5405522.0	5931485.0	5752291.0	5826805.0	6108854.0	6460271.0	5694527.0	4743086.0	4883885.0	4316483.0	5124454.0	4743646.0	5181109.0	4171325.0	4462197.0	4499743.0	4915376.0	4180547.0	4277741.0	3503648.0	4146493.0	3679391.0	3361628.0
26.05.2020 21:45:00	12	4802793.0	4176122.0	3828861.0	4271561.0	4385195.0	4762739.0	4631295.0	3971591.0	4532748.0	5432965.0	5235079.0	5275392.0	5904002.0	6163468.0	5286223.0	5420550.0	5054875.0	5251909.0	6433875.0	5440810.0	6370771.0	5602228.0	5337161.0	5269013.0	6239869.0	5587774.0	6527622.0	6578190.0	6469560.0	6900378.0	5953047.0	6020453.0	6083090.0	6351098.0	6836588.0	7017851.0	5612840.0	5567322.0	5643170.0	5437898.0	4523379.0	5137107.0	5856591.0	5392556.0	6311432.0	6030912.0	5571576.0	6623785.0	4583692.0	5005850.0	5199084.0	5658662.0	5215567.0	5176496.0	5934414.0	5079911.0	5271137.0	5182296.0	6033145.0	5545680.0	5960435.0	6093386.0	5859392.0	7063347.0	6625917.0	6338258.0	7166636.0	6877316.0	6825751.0	6231604.0	5663540.0	5820160.0	6397102.0	6181426.0	6281860.0	6604042.0	6936687.0	6176685.0	5124562.0	5263861.0	4681979.0	5525368.0	5130171.0	5582121.0	4541731.0	4817131.0	4890983.0	5301834.0	4557003.0	4654162.0	3828212.0	4474562.0	3979644.0	3653565.0
27.05.2020 00:45:00	15	5176178.0	4514150.0	4129642.0	4602199.0	4750397.0	5126093.0	5029799.0	4302017.0	4854987.0	5847321.0	5648995.0	5723635.0	6363596.0	6678657.0	5748691.0	5903244.0	5496294.0	5696848.0	6959960.0	5831153.0	6896349.0	6038923.0	5778314.0	5710649.0	6720755.0	6050336.0	7071709.0	7144678.0	7006103.0	7444499.0	6405225.0	6507124.0	6575507.0	6878636.0	7417771.0	7596184.0	6026990.0	5970067.0	6133563.0	5872322.0	4898493.0	5569198.0	6329643.0	5848493.0	6866235.0	6517844.0	6024602.0	7174690.0	4968321.0	5415105.0	5632795.0	6130369.0	5649499.0	5614072.0	6423210.0	5517953.0	5722973.0	5602525.0	6519900.0	6014219.0	6442319.0	6603647.0	6340443.0	7623751.0	7149158.0	6872322.0	7750389.0	7452525.0	7355942.0	6750147.0	6131697.0	6267816.0	6929695.0	6660321.0	6758708.0	7155938.0	7498026.0	6727063.0	5585296.0	5695168.0	5060756.0	5966077.0	5549861.0	6008175.0	4957656.0	5229620.0	5303789.0	5734840.0	4947775.0	5040175.0	4188770.0	4872015.0	4334869.0	3959049.0
27.05.2020 03:45:00	18	5556060.0	4875661.0	4439202.0	4973032.0	5161370.0	5554172.0	5424002.0	4639659.0	5255763.0	6292373.0	6088262.0	6188975.0	6897895.0	7229701.0	6223862.0	6377207.0	5970496.0	6125935.0	7511821.0	6228935.0	7422682.0	6554904.0	6261153.0	6195594.0	7272494.0	6544989.0	7649527.0	7731887.0	7616088.0	8059045.0	6930597.0	7045544.0	7127319.0	7440747.0	7998104.0	8177786.0	6525742.0	6460830.0	6644702.0	6377017.0	5308456.0	6007585.0	6869405.0	6360417.0	7431062.0	7088714.0	6542466.0	7751972.0	5425273.0	5863321.0	6114630.0	6631989.0	6132712.0	6058445.0	6963690.0	5984287.0	6219125.0	6069795.0	7043448.0	6518616.0	6998545.0	7133975.0	6875145.0	8228567.0	7713623.0	7465097.0	8406990.0	8047237.0	7969788.0	7317983.0	6647928.0	6786451.0	7507650.0	7218412.0	7341151.0	7728851.0	8081970.0	7290912.0	6072328.0	6149465.0	5536091.0	6457039.0	6021839.0	6531747.0	5407919.0	5661390.0	5738265.0	6219213.0	5396177.0	5484516.0	4595829.0	5307878.0	4745685.0	4302140.0
27.05.2020 06:45:00	21	6092864.0	5347107.0	4905263.0	5454988.0	5666102.0	6059911.0	5942302.0	5103155.0	5799284.0	6823740.0	6638641.0	6764169.0	7508132.0	7870492.0	6797000.0	6972493.0	6534379.0	6723156.0	8249471.0	6785719.0	8086571.0	7206856.0	6905925.0	6809828.0	7920296.0	7089408.0	8279274.0	8388661.0	8294055.0	8781813.0	7585940.0	7679843.0	7755564.0	8081875.0	8670919.0	8845506.0	7149036.0	7066574.0	7255555.0	6945479.0	5819634.0	6573924.0	7552634.0	6926156.0	8105944.0	7757007.0	7119048.0	8435881.0	5985486.0	6431348.0	6679472.0	7323732.0	6681001.0	6646386.0	7660730.0	6608027.0	6828003.0	6685009.0	7777018.0	7161110.0	7592149.0	7776280.0	7499177.0	8874602.0	8346233.0	8144868.0	9162574.0	8760451.0	8701162.0	7990360.0	7258724.0	7456705.0	8116406.0	7809970.0	7999857.0	8423192.0	8791453.0	7960951.0	6631353.0	6685696.0	6050048.0	7023208.0	6595762.0	7165828.0	5924952.0	6185103.0	6272742.0	6786474.0	5897084.0	6024985.0	5064603.0	5855681.0	5203565.0	4743663.0
27.05.2020 09:45:00	24	6636051.0	5932537.0	5319954.0	5977611.0	6193660.0	6571465.0	6447309.0	5558489.0	6301188.0	7408033.0	7204173.0	7318787.0	8145983.0	8541442.0	7332337.0	7697773.0	7095747.0	7309743.0	8931173.0	7348994.0	8802219.0	7853983.0	7439193.0	7411606.0	8601398.0	7692317.0	8954313.0	9087637.0	9063323.0	9509512.0	8277114.0	8362993.0	8445811.0	8752841.0	9342763.0	9574231.0	7762457.0	7685633.0	7846838.0	7555153.0	6357015.0	7165878.0	8245848.0	7578863.0	8798509.0	8445556.0	7720664.0	9117374.0	6521063.0	6967494.0	7291323.0	7943561.0	7267138.0	7450736.0	8324973.0	7244099.0	7443238.0	7270381.0	8436675.0	7757294.0	8286677.0	8445687.0	8153049.0	9599376.0	9049052.0	8875831.0	9967982.0	9456405.0	9427098.0	8669019.0	7863907.0	8058009.0	8794984.0	8483283.0	8667239.0	9189659.0	9516005.0	8690987.0	7238102.0	7276619.0	6581409.0	7565238.0	7357228.0	7756643.0	6481756.0	6742714.0	6790242.0	7330718.0	6455597.0	6578789.0	5561706.0	6413087.0	5653047.0	5153776.0
27.05.2020 12:45:00	27	7166505.0	6305104.0	5771678.0	6435504.0	6719336.0	7109373.0	6976531.0	6025263.0	6830134.0	8000921.0	7793203.0	7956393.0	8842230.0	9285954.0	8016098.0	8250785.0	7736855.0	7947651.0	9665695.0	7867209.0	9547612.0	8527636.0	8103237.0	8043572.0	9326729.0	8407644.0	9735453.0	9839290.0	9838007.0	10374030.0	8991952.0	9073582.0	9165353.0	9484319.0	10178170.0	10377210.0	8482099.0	8345566.0	8579015.0	8190907.0	6925816.0	7811412.0	8994201.0	8255412.0	9583665.0	9190969.0	8426594.0	9915831.0	7152272.0	7552716.0	7925145.0	8672993.0	7965290.0	7839284.0	9068621.0	7829660.0	8092619.0	7889152.0	9185777.0	8445928.0	9036802.0	9201193.0	8878307.0	10378930.0	9824680.0	9611860.0	10893040.0	10293140.0	10233200.0	9486127.0	8554169.0	8765928.0	9543335.0	9239700.0	9471668.0	9956689.0	10321480.0	9474695.0	7885234.0	7895987.0	7179095.0	8213967.0	7823015.0	8436544.0	7098983.0	7338969.0	7437363.0	7926398.0	7057097.0	7159655.0	6105534.0	7035186.0	6213510.0	5624055.0
