Vessel Name: 12062020_InCu_KaKr_KK1-77_P0_14
Metric: GFP Integrated Intensity Per Image (GCU x µm²/Image)
Cell Type: 
Passage: 0
Notes: 
Analysis: KaKr-A549-H2B-GFP/-RFP_DEFv10

Date Time	Elapsed	MSR1	MT1H	MT1HL1	MT1M	MT2A	MX1	MX2	MYCL	MYD88	NCOA7	NEXN	NKX3-1	NMI	NT5C3A	NUPR1	OAS1	OAS2	OAS3	OASL	OGFR	P2RY14	PALM2-AKAP2	PAQR8	PARP10	PARP11	PARP12	PARP14	PARP9	PCDH17	PDCD1LG2	PDZD2	PGAP1	PHF11	PID1	PIWIL4	PLEKHA4	PLSCR1	PLXDC2	PMAIP1	PNPT1	POLD1	POLI	PPM1K	PSMB8	PSMB9	PTAFR	RAI14	RARRES3	RASA2	RASGEF1B	RASGRP3	RGL1	RGS1	RHBDD2	RIN2	RNF213	RSAD2	RTCB	RTP4	RUFY4	S100A4	SAMD9	SAMD9L	SAMHD1	SDS	SECTM1	SERPINA1	SERPINB13	SERPINB3	SERPINB4	SERPING1	SIGLEC1	SLAMF7	SLC11A1	SLC15A3	SLC16A10	SLC1A5	SLC25A28	SLFN12L	SLFN5	SOCS1	SP100	SP110	SREK1IP1	C1 (Mx2)	C2 (STAT1)	C3 (MAVS)	C4 (BST2)	C5 (EIF2AK2)	C6 (RSAD2)	C7 (NTC1)	C8 (NTC2)	C9 (NTC3)	C10 (NTC4)	C11 (NTC5)
12.06.2020 10:12:00	0	4800759	3996349	4583084	3827540	3917798	5065141	3764090	3588143	4622746	4155093	3841766	4282671	4556920	4494598	4586754	4457009	5073450	4020610	4757475	5186931	4885251	4433524	4245284	5149237	4139917	4157411	4449394	5006023	4267651	4633965	4019854	3952609	3449859	3600433	3732350	4690842	4428832	4286558	3684831	3798208	3620012	2874292	445,9672	4425373	523,6749	0	2204,274	0	4816055	4655120	4478240	4878409	4736467	4431522	4487737	4775488	4633131	5761563	4871959	4755428	4699571	4649160	4775734	4668672	4119881	4344969	21450,9	2269,542	654,7214	0	0	813,0339	4876862	4900726	4572690	4466147	3923993	4853909	4771480	4145744	3857917	4086454	4448127	4445376	4649003	4048937	4107068	4822329	4789137	4368789	4423085	4353675	3994150	4345179	4207023
12.06.2020 13:12:00	3	5042224	4196815	4809947	4060678	4129820	5327472	3970308	3791903	4856990	4380660	4066413	4573460	4848103	4697419	4785476	4645969	5317349	4210928	4989101	5435616	5109738	4671934	4457505	5436959	4381348	4380752	4678035	5245147	4450115	4826875	4220375	4107710	3625304	3776713	3935421	5002399	4703988	4516835	3885378	3973865	3820032	3017416	1167,49	4628740	168,0259	0	2174,623	246,9264	5103148	4905476	4715284	5100155	4989450	4640900	4735592	5002099	4863038	5938395	5121912	5018232	4969747	4890495	5035079	4908037	4323971	4520301	22408,45	2500,791	565,5962	0	0	731,4067	5117849	5213686	4826004	4710756	4150356	5106885	5056160	4385771	4108726	4314332	4712043	4722739	4938488	4287794	4355513	5089627	5048985	4640373	4707804	4646985	4248881	4628922	4475318
12.06.2020 16:12:00	6	5420413	4508135	5131740	4354330	4427524	5674192	4247038	4059185	5179130	4680106	4366065	4890756	5221529	5035570	5104436	4959515	5678128	4509521	5355731	5824185	5492384	5024464	4790064	5824852	4721786	4736302	5011231	5643712	4781279	5168731	4510378	4419007	3891544	4072229	4230491	5386838	5015104	4846282	4192756	4270735	4114357	3254434	691,0191	4971352	277,6005	0	1597,438	199,3816	5475249	5288409	5038795	5477302	5361775	5003052	5081978	5360349	5202190	6262314	5528402	5388636	5346124	5266238	5407845	5263933	4637697	4838605	24697,42	2393,772	343,209	0	269,5912	781,8485	5475172	5606045	5185576	5054093	4447724	5479452	5431587	4718983	4411555	4646938	5085412	5092738	5305561	4622774	4693494	5449320	5418525	4980340	5054991	5004549	4583105	4977779	4832266
12.06.2020 19:12:00	9	5853534	4837639	5533080	4705029	4767751	6106765	4552805	4376474	5590888	5030665	4739360	5276490	5649168	5416323	5472451	5337394	6102242	4863938	5781615	6278669	5931914	5420829	5190075	6269051	5083196	5132732	5395692	6095379	5164105	5585501	4847797	4805813	4212453	4400806	4574201	5808906	5422711	5223337	4528924	4618388	4456769	3518604	511,4053	5359996	183,0221	0	1952,747	251,3571	5911729	5676360	5466884	5876335	5782304	5398702	5483961	5800144	5587329	6641477	5954168	5779765	5754420	5660770	5828382	5675344	4993351	5227398	25053,23	2582,077	513,9614	0	552,6449	596,2703	5907917	6045329	5572897	5443697	4823697	5883316	5841940	5099549	4765110	5029197	5509782	5461862	5724873	4997145	5074595	5864383	5866986	5377688	5456161	5405393	4957419	5371991	5234094
12.06.2020 22:12:00	12	6310280	5218527	5934099	5103085	5144579	6560248	4920148	4723200	6020331	5436088	5142749	5714200	6099893	5821708	5890844	5736244	6564975	5262003	6238357	6786834	6389801	5868613	5594731	6740721	5512879	5561787	5833921	6567340	5570267	6031385	5245995	5212457	4575604	4785026	4971519	6264967	5829068	5644408	4924258	5000165	4840375	3809871	716,9217	5809304	552,3041	0	1383,572	579,3995	6407608	6166840	5922520	6363973	6271938	5841747	5948475	6273281	6034217	7043136	6475572	6228439	6220134	6128892	6296216	6130563	5396465	5640910	27333,34	2915,061	261,7523	0	590,9875	554,349	6337429	6542568	6027484	5903975	5210831	6351195	6314859	5518262	5165120	5444990	5943393	5915032	6177612	5409167	5488388	6285713	6325304	5794269	5882508	5840404	5379469	5836579	5675528
13.06.2020 01:12:00	15	6817727	5622824	6410746	5541829	5534702	7085074	5334520	5111469	6483540	5875750	5593578	6200514	6616509	6305993	6375282	6203004	7056341	5721768	6762663	7373394	6894519	6373531	6087869	7294672	5971376	6020795	6325074	7106423	6032897	6535695	5678959	5664367	4987462	5226258	5417821	6789455	6315439	6120049	5356265	5428323	5277391	4152516	599,6785	6293017	411,0328	0	1239,915	355,4786	6941195	6695339	6430613	6863414	6799992	6349556	6418509	6808855	6529880	7539012	6999359	6732844	6709084	6650272	6861881	6591642	5844165	6113167	30830,53	3078,315	0	0	526,4015	520,4371	6861099	7082876	6521016	6377857	5644946	6879998	6811726	5962203	5600154	5903583	6464334	6405608	6683082	5856592	5953170	6794764	6847579	6269029	6370928	6340881	5843112	6348344	6168950
13.06.2020 04:12:00	18	7349190	6103961	6936329	6030195	5989086	7632024	5771877	5525555	7029419	6365746	6098488	6716947	7159265	6851150	6902877	6715734	7613628	6216106	7319931	7937766	7482018	6948912	6622608	7866079	6504107	6595020	6854993	7685913	6542558	7083980	6150748	6191898	5514914	5711147	5906430	7374644	6866657	6611047	5824623	5920631	5783888	4522244	580,422	6853163	334,3476	0	1103,415	0	7538105	7259664	7019133	7422607	7382681	6933087	6971857	7357102	7080432	8110347	7622759	7292280	7275031	7230807	7474806	7146114	6357177	6655927	34484,67	3726,902	0	0	579,0587	432,5047	7461027	7739669	7060289	6914445	6146659	7434750	7358977	6497758	6082870	6406150	7039852	6943737	7240921	6347069	6488311	7361816	7401523	6808703	6949415	6873031	6361419	6910441	6703341
13.06.2020 07:12:00	21	7989749	6658671	7519138	6548492	6525272	8257788	6256013	5999010	7614639	6925203	6645534	7319205	7748199	7433884	7498268	7312769	8265004	6756840	7934875	8635936	8104348	7547826	7201406	8528359	7070886	7163621	7460304	8349768	7129558	7725692	6682605	6750692	5966349	6233447	6478317	7983346	7416410	7163060	6340708	6436819	6331874	4935617	609,0511	7432018	0	0	726,1239	236,3609	8208820	7909870	7663187	8066799	8026418	7543458	7563209	7965823	7696007	8715861	8292127	7901904	7905161	7872338	8108508	7758874	6908175	7232232	37330,2	4047,958	0	0	674,1484	335,8813	8110288	8317200	7694761	7521005	6701644	8069878	7959374	7053067	6617839	6947121	7640979	7544491	7854704	6907000	7039778	7955790	8031596	7364381	7558680	7479720	6916700	7527425	7296455
13.06.2020 10:12:00	24	8609703	7219480	8098441	7108616	7080645	8880104	6787587	6518653	8201681	7466871	7232325	7931856	8408250	8020142	8106236	7895475	8896411	7331004	8594694	9383832	8791945	8212303	7806413	9239863	7675407	7784041	8147416	9001875	7743569	8435753	7254799	7370804	6537572	6822417	7069305	8664469	8063542	7780805	6921960	7016698	6883544	5382685	877,4494	8066049	0	0	263,7972	0	8898544	8578537	8353853	8727593	8710027	8208938	8225979	8639293	8351179	9360044	8997078	8584348	8553348	8545594	8847676	8390669	7510054	7841265	41690,18	4218,369	0	0	507,145	122,6964	8800952	9073294	8369012	8182136	7308072	8725839	8621535	7681137	7202848	7542147	8300102	8206360	8507720	7506323	7639178	8597697	8678921	7965634	8176711	8105099	7519114	8182369	7951683
13.06.2020 13:12:00	27	9321211	7823738	8861899	7723968	7712140	9613917	7377623	7097687	8863278	8076441	7865415	8596829	9109568	8774783	8779282	8544420	9665881	7983972	9336033	1,022247E+07	9558321	8950568	8535014	9964316	8396411	8516706	8872081	9809623	8443151	9185413	7883156	8012669	7169586	7465966	7712779	9441856	8728700	8438552	7558283	7669012	7546927	5879664	697,3243	8762978	0	0	568,6636	330,9394	9662789	9349711	9125298	9458493	9512971	8974239	8924886	9354161	9065611	1,007671E+07	9802102	9272287	9295507	9301472	9629529	9151874	8188563	8553772	45787,56	4425,59	0	0	563,3809	301,2878	9580251	9849212	9131066	8870019	7946376	9488745	9354252	8373642	7859156	8177552	9007832	8899353	9217057	8160555	8312327	9299929	9424297	8677441	8919825	8797881	8211233	8911225	8667348
