Vessel Name: 18-10-2022_KaKr_KK1-79_Screen_S4/4-B1/5_P0_16
Metric: GFP  Integrated Intensity Per Image (GCU x µm²/Image)
Cell Type: 
Passage: 0
Notes: 
Analysis: KaKr-A549-H2B-GFP/-RFP_DEFv10

Date Time	Elapsed	SSB	ST14	STAB1	STAP1	STAT1	STAT2	TAP1	TAP2	TDO2	TDRD7	TIFA	TLR3	TLR7	TMEM140	TMEM217	TMEM62	TNFRSF1B	TNFSF10	TNFSF13B	TNFSF18	TNFSF8	TRAF3IP3	TRANK1	TRIM21	TRIM22	TRIM25	TRIM38	TRIM5	TRIM69	TYMP	UBA7	UBN2	UBQLNL	VCAN	WARS1	XAF1	ZADH2	ZBP1	ZBTB48	ZC3HAV1	ZMAT3	ZNF44	ZNF516	ZNFX1	NTC1	NTC2	NTC3	NTC4	NTC5	C1 (Mx2)	C2 (STAT1)	C3 (MAVS)	C4 (BST2)	C5 (EIF2AK2)	C6 (RSAD2)	NTC1	NTC2	NTC3	NTC4	NTC5
18/10/2022 16:10:00	0	6062176.0	5482472.0	5792675.0	5582968.0	5546963.0	5119137.0	5487524.0	5141150.0	5798111.0	4733819.0	6143577.0	5035369.0	5927215.0	6271119.0	6662626.0	7181010.0	6766560.0	6799913.0	6629056.0	5439774.0	9064671.0	6384432.0	5898939.0	5788519.0	6509853.0	5845825.0	6791498.0	6660995.0	7237272.0	7131998.0	6332639.0	5199235.0	5779583.0	4887578.0	4516445.0	6128680.0	6178330.0	5768812.0	6500675.0	6030617.0	5855526.0	6512910.0	5936788.0	5454150.0	5977343.0	4839538.0	5034106.0	6887027.0	6124111.0	4349556.0	4804785.0	4669653.0	4739384.0	4713561.0	5195101.0	4224815.0	5348974.0	5069589.0	4784035.0	4768246.0
18/10/2022 18:10:00	2	6162598.0	5592192.0	5910694.0	5703711.0	5658787.0	5237262.0	5614662.0	5276083.0	5903674.0	4826930.0	6288828.0	5102919.0	6069351.0	6330798.0	6801851.0	7312330.0	6861663.0	6900553.0	6772101.0	5556307.0	9169391.0	6521767.0	5976431.0	5895732.0	6610611.0	5958753.0	6883350.0	6791460.0	7320369.0	7232794.0	6395615.0	5268437.0	5862964.0	4952689.0	4614501.0	6178214.0	6283172.0	5817536.0	6575147.0	6116558.0	5926270.0	6598869.0	6006644.0	5542878.0	6107170.0	4928499.0	5149453.0	7011170.0	6229395.0	4458077.0	4928657.0	4745112.0	4806313.0	4789466.0	5304874.0	4325552.0	5460810.0	5185284.0	4887390.0	4901767.0
18/10/2022 20:10:00	4	6334696.0	5729405.0	6053503.0	5866165.0	5775879.0	5349187.0	5755691.0	5428858.0	6019674.0	4951875.0	6453759.0	5241633.0	6240590.0	6472275.0	6975477.0	7485722.0	7025065.0	7064734.0	6962406.0	5725884.0	9403831.0	6701389.0	6147465.0	6040787.0	6774371.0	6114765.0	7070304.0	6951352.0	7511810.0	7406490.0	6530609.0	5384694.0	5984836.0	5096378.0	4740417.0	6309551.0	6413208.0	5981353.0	6775467.0	6296720.0	6067102.0	6775156.0	6155158.0	5676025.0	6288639.0	5091622.0	5340132.0	7213650.0	6415497.0	4629496.0	5072677.0	4880511.0	4922022.0	4948709.0	5431476.0	4495826.0	5633225.0	5382902.0	5070536.0	5070546.0
18/10/2022 22:10:00	6	6717241.0	5982579.0	6367350.0	6173248.0	6051425.0	5568879.0	6029610.0	5710990.0	6291362.0	5147926.0	6824155.0	5504668.0	6569462.0	6790228.0	7338251.0	7880768.0	7350537.0	7426643.0	7316095.0	6016209.0	9817344.0	7022404.0	6441070.0	6332080.0	7144015.0	6439257.0	7422507.0	7312130.0	7881944.0	7758250.0	6876117.0	5645069.0	6316296.0	5327931.0	4987777.0	6624361.0	6727643.0	6306032.0	7100896.0	6610353.0	6361833.0	7123639.0	6469243.0	5964579.0	6636143.0	5367009.0	5631815.0	7599785.0	6770554.0	4928808.0	5383081.0	5187824.0	5192552.0	5259894.0	5765720.0	4817621.0	5993655.0	5724757.0	5409485.0	5426645.0
19/10/2022 00:10:00	8	6910996.0	6197275.0	6521022.0	6391466.0	6224446.0	5756384.0	6241230.0	5871372.0	6483809.0	5324514.0	7026257.0	5663998.0	6802304.0	6960868.0	7549880.0	8108334.0	7572398.0	7636412.0	7569260.0	6205759.0	10046490.0	7241002.0	6631690.0	6499958.0	7347713.0	6635595.0	7646117.0	7519589.0	8102773.0	7957353.0	7068967.0	5792240.0	6504250.0	5504416.0	5129439.0	6795237.0	6924802.0	6505290.0	7351452.0	6824505.0	6557042.0	7336478.0	6647102.0	6149755.0	6841300.0	5559894.0	5855456.0	7854494.0	6994113.0	5121229.0	5585289.0	5355096.0	5353513.0	5438913.0	5935598.0	5008464.0	6196714.0	5943773.0	5628350.0	5629974.0
19/10/2022 02:10:00	10	7217060.0	6454744.0	6831339.0	6678261.0	6488857.0	6009533.0	6525483.0	6137188.0	6748457.0	5564544.0	7345044.0	5929272.0	7091125.0	7244461.0	7890133.0	8468747.0	7873688.0	7959755.0	7919996.0	6474232.0	10421200.0	7539301.0	6905587.0	6767182.0	7657678.0	6919758.0	7966415.0	7833302.0	8448094.0	8279248.0	7341313.0	6010929.0	6768217.0	5745875.0	5340146.0	7028094.0	7191364.0	6783080.0	7601171.0	7108503.0	6834500.0	7633172.0	6883529.0	6395499.0	7146317.0	5853590.0	6131442.0	8195843.0	7282524.0	5369064.0	5836063.0	5600253.0	5542527.0	5691181.0	6200238.0	5270097.0	6480628.0	6235337.0	5921668.0	5929475.0
19/10/2022 04:10:00	12	7515287.0	6769196.0	7127041.0	6982982.0	6753453.0	6263624.0	6839100.0	6415362.0	7045084.0	5812681.0	7685710.0	6210818.0	7422409.0	7544770.0	8300926.0	8861823.0	8213724.0	8315048.0	8309186.0	6796879.0	10878040.0	7864630.0	7237390.0	7072842.0	7995741.0	7211604.0	8317692.0	8169632.0	8798051.0	8643399.0	7675197.0	6297923.0	7055989.0	6000597.0	5553413.0	7300503.0	7488478.0	7104902.0	7980002.0	7437286.0	7146597.0	7968742.0	7196245.0	6706963.0	7505494.0	6130301.0	6427852.0	8568501.0	7624401.0	5684020.0	6123031.0	5867192.0	5788575.0	5973668.0	6502139.0	5578397.0	6839271.0	6604172.0	6245644.0	6245821.0
19/10/2022 06:10:00	14	7933237.0	7093048.0	7515354.0	7388660.0	7098106.0	6605295.0	7219503.0	6776428.0	7422269.0	6106059.0	8060887.0	6518616.0	7806412.0	7945046.0	8739989.0	9297882.0	8621164.0	8705615.0	8774885.0	7173658.0	11408010.0	8282147.0	7595499.0	7429744.0	8364133.0	7583168.0	8718787.0	8583214.0	9231134.0	9071952.0	8047503.0	6587632.0	7384021.0	6278163.0	5825024.0	7650154.0	7848788.0	7462035.0	8371334.0	7819438.0	7499170.0	8381931.0	7573196.0	7063624.0	7880338.0	6495283.0	6806652.0	9022595.0	8052809.0	6007710.0	6456943.0	6203104.0	6060913.0	6307649.0	6849903.0	5937514.0	7202051.0	6999969.0	6612991.0	6608539.0
19/10/2022 08:10:00	16	8292094.0	7437470.0	7886874.0	7724671.0	7422924.0	6953388.0	7603629.0	7104021.0	7776805.0	6402352.0	8441263.0	6807339.0	8189449.0	8265970.0	9178125.0	9762928.0	9017237.0	9139904.0	9208499.0	7549609.0	11861730.0	8679335.0	7962028.0	7778393.0	8767540.0	7922601.0	9164015.0	8977921.0	9659354.0	9475964.0	8436463.0	6875098.0	7697190.0	6606996.0	6083661.0	7958645.0	8168035.0	7827146.0	8791204.0	8194247.0	7865475.0	8785780.0	7914417.0	7380878.0	8278710.0	6820619.0	7157689.0	9455558.0	8451921.0	6345407.0	6780239.0	6510190.0	6319620.0	6603247.0	7171429.0	6271743.0	7619476.0	7393067.0	6948865.0	6958386.0
19/10/2022 10:10:00	18	8648297.0	7781589.0	8261453.0	8132919.0	7737948.0	7302373.0	7967495.0	7438373.0	8124104.0	6688803.0	8829389.0	7130462.0	8587954.0	8618159.0	9654774.0	10199360.0	9403701.0	9573611.0	9661445.0	7912158.0	12371500.0	9086041.0	8318657.0	8157880.0	9178853.0	8261905.0	9632911.0	9403998.0	10055330.0	9896771.0	8810694.0	7151882.0	8084503.0	6930157.0	6354512.0	8273039.0	8582848.0	8191584.0	9207192.0	8544745.0	8266897.0	9212489.0	8271872.0	7722531.0	8675916.0	7185049.0	7520418.0	9937618.0	8905936.0	6708968.0	7116293.0	6845601.0	6621546.0	6933569.0	7515326.0	6616703.0	7999832.0	7773922.0	7351804.0	7373967.0
